Автор;Страница в Википедии;страница в lib.ru;произведение ;год написания;страница в Википедии
Лажечников, Иван Иванович;https://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D0%B6%D0%B5%D1%87%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2,_%D0%98%D0%B2%D0%B0%D0%BD_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/HIST/LAZHECHNIKOW/;Ледяной дом;1835;https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D0%B4%D1%8F%D0%BD%D0%BE%D0%B9_%D0%B4%D0%BE%D0%BC_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Последний Новик;1833;https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D1%81%D0%BB%D0%B5%D0%B4%D0%BD%D0%B8%D0%B9_%D0%9D%D0%BE%D0%B2%D0%B8%D0%BA
;;;Басурман;1838;https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%81%D1%83%D1%80%D0%BC%D0%B0%D0%BD_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
Бестужев-Марлинский, Александр Александрович (Александр Марлинский);https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D1%81%D1%82%D1%83%D0%B6%D0%B5%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87;http://az.lib.ru/b/bestuzhewmarlins_a_a/;Страшное гаданье;1831;
;;;Вечер на бивуаке;1823;
;;;Наезды;1831;
Чехов, Антон Павлович;https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D1%85%D0%BE%D0%B2,_%D0%90%D0%BD%D1%82%D0%BE%D0%BD_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/LITRA/CHEHOW/;Драма на охоте;1884;https://ru.wikipedia.org/wiki/%D0%94%D1%80%D0%B0%D0%BC%D0%B0_%D0%BD%D0%B0_%D0%BE%D1%85%D0%BE%D1%82%D0%B5
;;;Степь;1888;https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D0%B5%D0%BF%D1%8C_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
;;;Палата №6;1892;https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D0%BB%D0%B0%D1%82%D0%B0_%E2%84%96_6
;;;В овраге;1899;https://ru.wikipedia.org/wiki/%D0%92_%D0%BE%D0%B2%D1%80%D0%B0%D0%B3%D0%B5
Пушкин, Александр Сергеевич;https://ru.wikipedia.org/wiki/%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%B8%D1%87;http://lib.ru/LITRA/PUSHKIN/;Станционный смотритель;1830;https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D0%B8_%D0%91%D0%B5%D0%BB%D0%BA%D0%B8%D0%BD%D0%B0
;;;Пиковая дама;1834;https://ru.wikipedia.org/wiki/%D0%9F%D0%B8%D0%BA%D0%BE%D0%B2%D0%B0%D1%8F_%D0%B4%D0%B0%D0%BC%D0%B0
;;;Дубровский;1833;https://ru.wikipedia.org/wiki/%D0%94%D1%83%D0%B1%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Капитанская дочка;1836;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BF%D0%B8%D1%82%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%B4%D0%BE%D1%87%D0%BA%D0%B0
Гоголь, Николай Васильевич;https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D0%B3%D0%BE%D0%BB%D1%8C,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87;http://az.lib.ru/g/gogolx_n_w/;Мертвые души;1841;https://ru.wikipedia.org/wiki/%D0%9C%D1%91%D1%80%D1%82%D0%B2%D1%8B%D0%B5_%D0%B4%D1%83%D1%88%D0%B8
;;;Нос;1833;https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D1%81_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
;;;Тарас Бульба;1935;https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D1%80%D0%B0%D1%81_%D0%91%D1%83%D0%BB%D1%8C%D0%B1%D0%B0
;;;Вий;1935;https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D0%B9_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
;;;Сорочинская ярмарка;1831;https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D1%80%D0%BE%D1%87%D0%B8%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D1%8F%D1%80%D0%BC%D0%B0%D1%80%D0%BA%D0%B0_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
Гончаров, Иван Александрович;https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D0%BD%D1%87%D0%B0%D1%80%D0%BE%D0%B2,_%D0%98%D0%B2%D0%B0%D0%BD_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87;http://az.lib.ru/g/goncharow_i_a/;Обыкновенная история;1847;https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D1%8B%D0%BA%D0%BD%D0%BE%D0%B2%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F_%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F
;;;Обломов;1859;https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D0%BB%D0%BE%D0%BC%D0%BE%D0%B2
;;;Обрыв;1869;https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D1%80%D1%8B%D0%B2_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
Лермонтов, Михаил Юрьевич ;https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%AE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87;http://lib.ru/LITRA/LERMONTOW/;Герой нашего времени;1840;https://ru.wikipedia.org/wiki/%D0%93%D0%B5%D1%80%D0%BE%D0%B9_%D0%BD%D0%B0%D1%88%D0%B5%D0%B3%D0%BE_%D0%B2%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%B8
Тургенев, Иван Сергеевич ;https://ru.wikipedia.org/wiki/%D0%A2%D1%83%D1%80%D0%B3%D0%B5%D0%BD%D0%B5%D0%B2,_%D0%98%D0%B2%D0%B0%D0%BD_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%B8%D1%87;http://az.lib.ru/t/turgenew_i_s/;Рудин;1855;https://ru.wikipedia.org/wiki/%D0%A0%D1%83%D0%B4%D0%B8%D0%BD_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Дворянское гнездо ;1858;https://ru.wikipedia.org/wiki/%D0%94%D0%B2%D0%BE%D1%80%D1%8F%D0%BD%D1%81%D0%BA%D0%BE%D0%B5_%D0%B3%D0%BD%D0%B5%D0%B7%D0%B4%D0%BE
;;;Накануне;1859;https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D0%BA%D0%B0%D0%BD%D1%83%D0%BD%D0%B5_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Отцы и дети;1861;https://ru.wikipedia.org/wiki/%D0%9E%D1%82%D1%86%D1%8B_%D0%B8_%D0%B4%D0%B5%D1%82%D0%B8
;;;Дым;1867;
Достоевский, Федор Михайлович;https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D1%81%D1%82%D0%BE%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%A4%D1%91%D0%B4%D0%BE%D1%80_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87;http://az.lib.ru/d/dostoewskij_f_m/;Преступление и наказание;1866;https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B5%D1%81%D1%82%D1%83%D0%BF%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_%D0%B8_%D0%BD%D0%B0%D0%BA%D0%B0%D0%B7%D0%B0%D0%BD%D0%B8%D0%B5
;;;Идиот;1868;https://ru.wikipedia.org/wiki/%D0%98%D0%B4%D0%B8%D0%BE%D1%82_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Бесы;1872;https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D1%81%D1%8B_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Подросток;1875;https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B4%D1%80%D0%BE%D1%81%D1%82%D0%BE%D0%BA_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Братья Карамазовы;1880;https://ru.wikipedia.org/wiki/%D0%91%D1%80%D0%B0%D1%82%D1%8C%D1%8F_%D0%9A%D0%B0%D1%80%D0%B0%D0%BC%D0%B0%D0%B7%D0%BE%D0%B2%D1%8B
Салтыков-Щедрин, Михаил Евграфович;https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BB%D1%82%D1%8B%D0%BA%D0%BE%D0%B2-%D0%A9%D0%B5%D0%B4%D1%80%D0%B8%D0%BD,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%95%D0%B2%D0%B3%D1%80%D0%B0%D1%84%D0%BE%D0%B2%D0%B8%D1%87;http://az.lib.ru/s/saltykow_m_e/;История одного города;1870;https://ru.wikipedia.org/wiki/%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F_%D0%BE%D0%B4%D0%BD%D0%BE%D0%B3%D0%BE_%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B0
;;;Господа Головлевы;1880;https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D0%B0_%D0%93%D0%BE%D0%BB%D0%BE%D0%B2%D0%BB%D1%91%D0%B2%D1%8B
;;;Пошехонская старина;1889;https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D1%88%D0%B5%D1%85%D0%BE%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D1%81%D1%82%D0%B0%D1%80%D0%B8%D0%BD%D0%B0_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
Чернышевский, Николай Гаврилович;https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D1%80%D0%BD%D1%8B%D1%88%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%93%D0%B0%D0%B2%D1%80%D0%B8%D0%BB%D0%BE%D0%B2%D0%B8%D1%87;http://az.lib.ru/c/chernyshewskij_n_g;Что делать?;1863;https://ru.wikipedia.org/wiki/%D0%A7%D1%82%D0%BE_%D0%B4%D0%B5%D0%BB%D0%B0%D1%82%D1%8C%3F_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Алферьев;1863;
;;;Повести в повести;1864;
Толстой, Лев николаевич;https://ru.wikipedia.org/wiki/%D0%A2%D0%BE%D0%BB%D1%81%D1%82%D0%BE%D0%B9,_%D0%9B%D0%B5%D0%B2_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87;http://az.lib.ru/t/tolstoj_lew_nikolaewich/;Война и мир;1869;https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B9%D0%BD%D0%B0_%D0%B8_%D0%BC%D0%B8%D1%80
;;;Анна Каренина;1877;https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%BD%D0%B0_%D0%9A%D0%B0%D1%80%D0%B5%D0%BD%D0%B8%D0%BD%D0%B0
;;;Воскресение;1899;https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D1%81%D0%BA%D1%80%D0%B5%D1%81%D0%B5%D0%BD%D0%B8%D0%B5_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Хаджи-Мурат;1904;https://ru.wikipedia.org/wiki/%D0%A5%D0%B0%D0%B4%D0%B6%D0%B8-%D0%9C%D1%83%D1%80%D0%B0%D1%82_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
Лесков, Николай Семенович;https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D1%81%D0%BA%D0%BE%D0%B2,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%A1%D0%B5%D0%BC%D1%91%D0%BD%D0%BE%D0%B2%D0%B8%D1%87;http://az.lib.ru/l/leskow_n_s/;Соборяне;1872;https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D0%B1%D0%BE%D1%80%D1%8F%D0%BD%D0%B5
;;;Очарованный странник;1873;https://ru.wikipedia.org/wiki/%D0%9E%D1%87%D0%B0%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%BD%D1%8B%D0%B9_%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%BD%D0%B8%D0%BA
;;;Леди Макбет Мценского уезда;1864;https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D0%B4%D0%B8_%D0%9C%D0%B0%D0%BA%D0%B1%D0%B5%D1%82_%D0%9C%D1%86%D0%B5%D0%BD%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_%D1%83%D0%B5%D0%B7%D0%B4%D0%B0
Помяловский, Николай Герасимович;https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BC%D1%8F%D0%BB%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%93%D0%B5%D1%80%D0%B0%D1%81%D0%B8%D0%BC%D0%BE%D0%B2%D0%B8%D1%87;http://az.lib.ru/p/pomjalowskij_n_g/;Мещанское счастье;1861;
;;;Молотов;1861;
;;;Очерки Бурсы;1863;
Решетников, Федор Михайлович;https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D1%88%D0%B5%D1%82%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2,_%D0%A4%D1%91%D0%B4%D0%BE%D1%80_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87;http://az.lib.ru/r/reshetnikow_f_m/;Подлиповцы;1862;
;;;Глумовы;1860-1868;
;;;Свой хлеб;1870;
Успенский, Глеб Иванович;https://ru.wikipedia.org/wiki/%D0%A3%D1%81%D0%BF%D0%B5%D0%BD%D1%81%D0%BA%D0%B8%D0%B9,_%D0%93%D0%BB%D0%B5%D0%B1_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87;http://az.lib.ru/u/uspenskij_g_i/;Нравы растеряевой улицы;1866;
;;;Земной рай;1868;
;;;Заграничный дневник провинциала;1876;
Гарин-Михайловский, Николай Георгиевич;https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D1%80%D0%B8%D0%BD-%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D0%B8%D1%87;http://az.lib.ru/g/garinmihajlowskij_n/;Детство Темы;1892;
;;;Гимназисты;1895;
;;;Студенты;1895;
;;;Инженеры;1906;
Мамин-Сибиряк, Дмитрий Наркисович;https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BC%D0%B8%D0%BD-%D0%A1%D0%B8%D0%B1%D0%B8%D1%80%D1%8F%D0%BA,_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9_%D0%9D%D0%B0%D1%80%D0%BA%D0%B8%D1%81%D0%BE%D0%B2%D0%B8%D1%87;http://az.lib.ru/m/maminsibirjak_d/;Приваловские миллионы;1883;https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D0%B2%D0%B0%D0%BB%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B5_%D0%BC%D0%B8%D0%BB%D0%BB%D0%B8%D0%BE%D0%BD%D1%8B_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Золото;1892;
;;;Три конца;1890;
;;;Хлеб;1895;
Гаршин, Всеволод Михайлович;https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D1%80%D1%88%D0%B8%D0%BD,_%D0%92%D1%81%D0%B5%D0%B2%D0%BE%D0%BB%D0%BE%D0%B4_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87;http://az.lib.ru/g/garshin_w_m/;Красный цветок;1883;
;;;Очень коротенький роман;1878;
;;;Трус;1878;
Короленко, Владимир Галактионович;https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%BE%D0%BB%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%93%D0%B0%D0%BB%D0%B0%D0%BA%D1%82%D0%B8%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87;http://az.lib.ru/k/korolenko_w_g/;В дурном обществе;1881-1884;https://ru.wikipedia.org/wiki/%D0%92_%D0%B4%D1%83%D1%80%D0%BD%D0%BE%D0%BC_%D0%BE%D0%B1%D1%89%D0%B5%D1%81%D1%82%D0%B2%D0%B5
;;;Сон Макара;1885;
;;;Слепой музыкант;1886;
Горький, Максим;https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BA%D1%81%D0%B8%D0%BC_%D0%93%D0%BE%D1%80%D1%8C%D0%BA%D0%B8%D0%B9;http://az.lib.ru/g/gorxkij_m/;Мать;1906;https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D1%82%D1%8C_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Мои университеты;1923;
;;;Дело Артамоновых;1925;https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%BB%D0%BE_%D0%90%D1%80%D1%82%D0%B0%D0%BC%D0%BE%D0%BD%D0%BE%D0%B2%D1%8B%D1%85_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Жизнь Клима Самгина;1925 - 1936;https://ru.wikipedia.org/wiki/%D0%96%D0%B8%D0%B7%D0%BD%D1%8C_%D0%9A%D0%BB%D0%B8%D0%BC%D0%B0_%D0%A1%D0%B0%D0%BC%D0%B3%D0%B8%D0%BD%D0%B0
Крюков, Федор Дмитриевич;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D1%8E%D0%BA%D0%BE%D0%B2,_%D0%A4%D1%91%D0%B4%D0%BE%D1%80_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B5%D0%B2%D0%B8%D1%87;http://az.lib.ru/k/krjukow_f_d/;Гулебщики;1892;
;;;Казачка;1896;
;;;На тихом Дону;1898;
Куприн, Александр Иванович;https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%BF%D1%80%D0%B8%D0%BD,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/LITRA/KUPRIN/;Впотьмах;1892;https://ru.wikipedia.org/wiki/%D0%92%D0%BF%D0%BE%D1%82%D1%8C%D0%BC%D0%B0%D1%85
;;;Молох;1896;
;;;Олеся;1898;https://ru.wikipedia.org/wiki/%D0%9E%D0%BB%D0%B5%D1%81%D1%8F_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
;;;Поединок;1905;https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B5%D0%B4%D0%B8%D0%BD%D0%BE%D0%BA_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
;;;Гранатовый браслет;1910;https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B0%D0%BD%D0%B0%D1%82%D0%BE%D0%B2%D1%8B%D0%B9_%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82
Бунин, Иван Алексеевич;https://ru.wikipedia.org/wiki/%D0%91%D1%83%D0%BD%D0%B8%D0%BD,_%D0%98%D0%B2%D0%B0%D0%BD_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%B8%D1%87;http://lib.ru/BUNIN/;Жизнь Арсеньева;1929, 1933;https://ru.wikipedia.org/wiki/%D0%96%D0%B8%D0%B7%D0%BD%D1%8C_%D0%90%D1%80%D1%81%D0%B5%D0%BD%D1%8C%D0%B5%D0%B2%D0%B0
;;;Деревня;1908;
;;;Суходол;1912;https://ru.wikipedia.org/wiki/%D0%A1%D1%83%D1%85%D0%BE%D0%B4%D0%BE%D0%BB_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
;;;Митина любовь;1925;
;;;Антоновские яблоки;1900;https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B5_%D1%8F%D0%B1%D0%BB%D0%BE%D0%BA%D0%B8
Андреев, Леонид Николаевич;https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2,_%D0%9B%D0%B5%D0%BE%D0%BD%D0%B8%D0%B4_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87;http://az.lib.ru/a/andreew_l_n/;Жизнь Василия Фивейского;1903;https://ru.wikipedia.org/wiki/%D0%96%D0%B8%D0%B7%D0%BD%D1%8C_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D0%B8%D1%8F_%D0%A4%D0%B8%D0%B2%D0%B5%D0%B9%D1%81%D0%BA%D0%BE%D0%B3%D0%BE
;;;Красный смех;1904;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D1%8B%D0%B9_%D1%81%D0%BC%D0%B5%D1%85
;;;Иуда Искариот;1907;https://ru.wikipedia.org/wiki/%D0%98%D1%83%D0%B4%D0%B0_%D0%98%D1%81%D0%BA%D0%B0%D1%80%D0%B8%D0%BE%D1%82_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
;;;Рассказ о семи повешенных;1908;https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D1%81%D1%81%D0%BA%D0%B0%D0%B7_%D0%BE_%D1%81%D0%B5%D0%BC%D0%B8_%D0%BF%D0%BE%D0%B2%D0%B5%D1%88%D0%B5%D0%BD%D0%BD%D1%8B%D1%85
;;;Ангелочек;1899;
Шмелев, Иван Сергеевич;https://ru.wikipedia.org/wiki/%D0%A8%D0%BC%D0%B5%D0%BB%D1%91%D0%B2,_%D0%98%D0%B2%D0%B0%D0%BD_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B5%D0%B2%D0%B8%D1%87;http://lib.ru/RUSSLIT/SMELEW/;Богомолье;1831;https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%B3%D0%BE%D0%BC%D0%BE%D0%BB%D1%8C%D0%B5
;;;Лето Господне;1927 - 1948;https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D1%82%D0%BE_%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D0%BD%D0%B5
;;;Неупиваемая чаша;1918;
Толстой, Алексей Николаевич;https://ru.wikipedia.org/wiki/%D0%A2%D0%BE%D0%BB%D1%81%D1%82%D0%BE%D0%B9,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B9_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87;http://az.lib.ru/t/tolstoj_a_n/;Аэлита;1923;https://ru.wikipedia.org/wiki/%D0%90%D1%8D%D0%BB%D0%B8%D1%82%D0%B0_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
