Автор;Страница в Википедии;страница в lib.ru;произведение ;год написания;страница в Википедии
;;;Гиперболоид инженера Гарина;1927;https://ru.wikipedia.org/wiki/%D0%93%D0%B8%D0%BF%D0%B5%D1%80%D0%B1%D0%BE%D0%BB%D0%BE%D0%B8%D0%B4_%D0%B8%D0%BD%D0%B6%D0%B5%D0%BD%D0%B5%D1%80%D0%B0_%D0%93%D0%B0%D1%80%D0%B8%D0%BD%D0%B0
;;;Хождение по мукам;1921-1941;https://ru.wikipedia.org/wiki/%D0%A5%D0%BE%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5_%D0%BF%D0%BE_%D0%BC%D1%83%D0%BA%D0%B0%D0%BC
;;;Петр Первый;1929 - 1945;https://ru.wikipedia.org/wiki/%D0%9F%D1%91%D1%82%D1%80_%D0%9F%D0%B5%D1%80%D0%B2%D1%8B%D0%B9_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
Грин, Александр Степанович;https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B8%D0%BD,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%A1%D1%82%D0%B5%D0%BF%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/RUSSLIT/GRIN/;Алые паруса;1916 - 1922;https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D1%8B%D0%B5_%D0%BF%D0%B0%D1%80%D1%83%D1%81%D0%B0
;;;Бегущая по волнам;1928;https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%B3%D1%83%D1%89%D0%B0%D1%8F_%D0%BF%D0%BE_%D0%B2%D0%BE%D0%BB%D0%BD%D0%B0%D0%BC
;;;Блистающий мир;1921-1923;https://ru.wikipedia.org/wiki/%D0%91%D0%BB%D0%B8%D1%81%D1%82%D0%B0%D1%8E%D1%89%D0%B8%D0%B9_%D0%BC%D0%B8%D1%80
Чуковский, Корней Иванович;https://ru.wikipedia.org/wiki/%D0%A7%D1%83%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%9A%D0%BE%D1%80%D0%BD%D0%B5%D0%B9_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87;;Солнечная;1936;
;;;Серебряный герб;1938;
;;;Собачье царство;1912;
Набоков, Владимир Владимирович;https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D0%B1%D0%BE%D0%BA%D0%BE%D0%B2,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/NABOKOW/;Машенька;1926;https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D1%88%D0%B5%D0%BD%D1%8C%D0%BA%D0%B0_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Король, дама, валет;1928;https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%BE%D0%BB%D1%8C,_%D0%B4%D0%B0%D0%BC%D0%B0,_%D0%B2%D0%B0%D0%BB%D0%B5%D1%82
;;;Защита Лужина;1930;https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D1%89%D0%B8%D1%82%D0%B0_%D0%9B%D1%83%D0%B6%D0%B8%D0%BD%D0%B0
;;;Дар;1935 - 1937;https://ru.wikipedia.org/wiki/%D0%94%D0%B0%D1%80_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Другие берега;1953-1954;https://ru.wikipedia.org/wiki/%D0%94%D1%80%D1%83%D0%B3%D0%B8%D0%B5_%D0%B1%D0%B5%D1%80%D0%B5%D0%B3%D0%B0
Аверченко, Аркадий Тимофеевич;https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B5%D1%80%D1%87%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%90%D1%80%D0%BA%D0%B0%D0%B4%D0%B8%D0%B9_%D0%A2%D0%B8%D0%BC%D0%BE%D1%84%D0%B5%D0%B5%D0%B2%D0%B8%D1%87;http://lib.ru/RUSSLIT/AWERCHENKO/;Подходцев и двое других;1917;
;;;Шутка мецената;1925;https://ru.wikipedia.org/wiki/%D0%A8%D1%83%D1%82%D0%BA%D0%B0_%D0%9C%D0%B5%D1%86%D0%B5%D0%BD%D0%B0%D1%82%D0%B0
;;;Человек у которого были идеи;ок.1912;
;;;Разумная экономия;ок.1912;
;;;Лакмусовая бумажка;ок.1912;
Пильняк, Борис Андреевич;https://ru.wikipedia.org/wiki/%D0%9F%D0%B8%D0%BB%D1%8C%D0%BD%D1%8F%D0%BA,_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2%D0%B8%D1%87;http://lib.baikal.net/koi/PILXNQK/;Голый год;1921;
;;;Повесть непогашенной луны ;ок.1926;https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C_%D0%BD%D0%B5%D0%BF%D0%BE%D0%B3%D0%B0%D1%88%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%BB%D1%83%D0%BD%D1%8B
;;;Мать сыра-земля;1924;
;;;Иван Москва;1927;
Серафимович, Александр Серафимович;https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D1%80%D0%B0%D1%84%D0%B8%D0%BC%D0%BE%D0%B2%D0%B8%D1%87,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%A1%D0%B5%D1%80%D0%B0%D1%84%D0%B8%D0%BC%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/RUSSLIT/SERAFIMOWICH/;Железный поток;1924;
;;;Две ночи;1913;
;;;Оглянулся;1914;
Арсеньев, Владимир Клавдиевич;https://ru.wikipedia.org/wiki/%D0%90%D1%80%D1%81%D0%B5%D0%BD%D1%8C%D0%B5%D0%B2,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9A%D0%BB%D0%B0%D0%B2%D0%B4%D0%B8%D0%B5%D0%B2%D0%B8%D1%87;;Не соответствует критериям;;
Пришвин, Михаил Михайлович;https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D1%88%D0%B2%D0%B8%D0%BD,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/PRISHWIN/;Жень-Шень;1933;
;;;Кащеева цепь;1922 - 1927;
;;;Мирская чаша (Раб обезьяний);1920;
Шолохов, Михаил Александрович;https://ru.wikipedia.org/wiki/%D0%A8%D0%BE%D0%BB%D0%BE%D1%85%D0%BE%D0%B2,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/PROZA/SHOLOHOW/;Тихий Дон;1925 - 1940;https://ru.wikipedia.org/wiki/%D0%A2%D0%B8%D1%85%D0%B8%D0%B9_%D0%94%D0%BE%D0%BD
;;;Поднятая целина;1930 - 1959;https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B4%D0%BD%D1%8F%D1%82%D0%B0%D1%8F_%D1%86%D0%B5%D0%BB%D0%B8%D0%BD%D0%B0_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Они сражались за Родину (главы);1940-е, 1969;https://ru.wikipedia.org/wiki/%D0%9E%D0%BD%D0%B8_%D1%81%D1%80%D0%B0%D0%B6%D0%B0%D0%BB%D0%B8%D1%81%D1%8C_%D0%B7%D0%B0_%D0%A0%D0%BE%D0%B4%D0%B8%D0%BD%D1%83_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Судьба человека;1956 - 1957;https://ru.wikipedia.org/wiki/%D0%A1%D1%83%D0%B4%D1%8C%D0%B1%D0%B0_%D1%87%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA%D0%B0
;;;Наука ненависти;1942;https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D1%83%D0%BA%D0%B0_%D0%BD%D0%B5%D0%BD%D0%B0%D0%B2%D0%B8%D1%81%D1%82%D0%B8
Фадеев, Александр Александрович;https://ru.wikipedia.org/wiki/%D0%A4%D0%B0%D0%B4%D0%B5%D0%B5%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/RUSSLIT/FADEEW/;Разгром;1924 - 1926;https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D0%B7%D0%B3%D1%80%D0%BE%D0%BC_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Молодая гвардия;1942-1943;https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D0%BB%D0%BE%D0%B4%D0%B0%D1%8F_%D0%B3%D0%B2%D0%B0%D1%80%D0%B4%D0%B8%D1%8F_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Разлив;1924;
Бабель, Исаак Эммануилович;https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%B1%D0%B5%D0%BB%D1%8C,_%D0%98%D1%81%D0%B0%D0%B0%D0%BA_%D0%AD%D0%BC%D0%BC%D0%B0%D0%BD%D1%83%D0%B8%D0%BB%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/PROZA/BABEL/;Мой первый гусь;1920-е;
;;;Гедали;1920-е;
;;;Рабби;1920-е;
;;;Как это делалось в Одессе;1923;
;;;Любка Казак;1924;
Фурманов, Дмитрий Андреевич;https://ru.wikipedia.org/wiki/%D0%A4%D1%83%D1%80%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2,_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2%D0%B8%D1%87;http://lib.ru/RUSSLIT/FURMANOW/;Чапаев;1922 - 1923;https://ru.wikipedia.org/wiki/%D0%A7%D0%B0%D0%BF%D0%B0%D0%B5%D0%B2_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Мятеж;1925;
;;;Записки обывателя;1921;
Островский, Николай Алексеевич ;https://ru.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%B8%D1%87#.D0.A1.D0.BE.D1.87.D0.B8.D0.BD.D0.B5.D0.BD.D0.B8.D1.8F;http://lib.ru/RUSSLIT/OSTROWSKIJ/;Как закалялась сталь;1930 - 1934https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BA_%D0%B7%D0%B0%D0%BA%D0%B0%D0%BB%D1%8F%D0%BB%D0%B0%D1%81%D1%8C_%D1%81%D1%82%D0%B0%D0%BB%D1%8C;
;;;Рожденные бурей;1936;https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D0%B6%D0%B4%D1%91%D0%BD%D0%BD%D1%8B%D0%B5_%D0%B1%D1%83%D1%80%D0%B5%D0%B9
Булгаков, Михаил Афанасьевич;https://ru.wikipedia.org/wiki/%D0%91%D1%83%D0%BB%D0%B3%D0%B0%D0%BA%D0%BE%D0%B2,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%90%D1%84%D0%B0%D0%BD%D0%B0%D1%81%D1%8C%D0%B5%D0%B2%D0%B8%D1%87;http://lib.ru/%3E%3C/BULGAKOW/;Белая гвардия;1923 - 1924;https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D0%B0%D1%8F_%D0%B3%D0%B2%D0%B0%D1%80%D0%B4%D0%B8%D1%8F_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Роковые яйца;1924;https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D0%BA%D0%BE%D0%B2%D1%8B%D0%B5_%D1%8F%D0%B9%D1%86%D0%B0
;;;Собачье сердце;1925;https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D0%B1%D0%B0%D1%87%D1%8C%D0%B5_%D1%81%D0%B5%D1%80%D0%B4%D1%86%D0%B5
;;;Мастер и Маргарита;1928 - 1940;https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D1%81%D1%82%D0%B5%D1%80_%D0%B8_%D0%9C%D0%B0%D1%80%D0%B3%D0%B0%D1%80%D0%B8%D1%82%D0%B0
;;;Театральный роман;1936;https://ru.wikipedia.org/wiki/%D0%A2%D0%B5%D0%B0%D1%82%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9_%D1%80%D0%BE%D0%BC%D0%B0%D0%BD
Платонов, Андрей Платонович;https://ru.wikipedia.org/wiki/%D0%9F%D0%BB%D0%B0%D1%82%D0%BE%D0%BD%D0%BE%D0%B2,_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B9_%D0%9F%D0%BB%D0%B0%D1%82%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87;;Чевенгур;1929;https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D0%B2%D0%B5%D0%BD%D0%B3%D1%83%D1%80
;;;Котлован;1930;https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%82%D0%BB%D0%BE%D0%B2%D0%B0%D0%BD_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
;;;Счастливая Москва;1933 - 1936;
;;;Город Градов;1927;
;;;Третий сын;1936;
Олеша, Юрий Карлович;https://ru.wikipedia.org/wiki/%D0%9E%D0%BB%D0%B5%D1%88%D0%B0,_%D0%AE%D1%80%D0%B8%D0%B9_%D0%9A%D0%B0%D1%80%D0%BB%D0%BE%D0%B2%D0%B8%D1%87;;Три толстяка;1924;https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D0%B8_%D1%82%D0%BE%D0%BB%D1%81%D1%82%D1%8F%D0%BA%D0%B0
;;;Зависть;1927;https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D0%B2%D0%B8%D1%81%D1%82%D1%8C_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Вишневая косточка;1929;
Зощенко, Михаил Михайлович;https://ru.wikipedia.org/wiki/%D0%97%D0%BE%D1%89%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/RUSSLIT/ZOSHENKO/;Аристократка;1923;
;;;Баня;1924;
;;;Живой труп;1924;
;;;Хозрасчет;1925;
;;;Столичная штучка;1925;
Замятин, Евгений Иванович;https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D0%BC%D1%8F%D1%82%D0%B8%D0%BD,_%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D0%B9_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87;http://az.lib.ru/z/zamjatin_e_i/;Мы;1920;https://ru.wikipedia.org/wiki/%D0%9C%D1%8B_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Ловец человеков;1921;
;;;Пещера;1920;
;;;Мамай;1920;
;;;Рассказ о самом главном;1923;
Ильф, Илья, Петров, Евгений;https://ru.wikipedia.org/wiki/%D0%98%D0%BB%D1%8C%D1%84_%D0%B8_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2;http://az.lib.ru/i/ilfpetrov/;Двенадцать стульев;1927;https://ru.wikipedia.org/wiki/%D0%94%D0%B2%D0%B5%D0%BD%D0%B0%D0%B4%D1%86%D0%B0%D1%82%D1%8C_%D1%81%D1%82%D1%83%D0%BB%D1%8C%D0%B5%D0%B2
;;;Золотой теленок;1931;https://ru.wikipedia.org/wiki/%D0%97%D0%BE%D0%BB%D0%BE%D1%82%D0%BE%D0%B9_%D1%82%D0%B5%D0%BB%D1%91%D0%BD%D0%BE%D0%BA
;;;Одноэтажная Америка;1936;https://ru.wikipedia.org/wiki/%D0%9E%D0%B4%D0%BD%D0%BE%D1%8D%D1%82%D0%B0%D0%B6%D0%BD%D0%B0%D1%8F_%D0%90%D0%BC%D0%B5%D1%80%D0%B8%D0%BA%D0%B0
Добычин, Леонид Иванович;https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%B1%D1%8B%D1%87%D0%B8%D0%BD,_%D0%9B%D0%B5%D0%BE%D0%BD%D0%B8%D0%B4_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87;http://az.lib.ru/d/dobychin_l_i/;Город Эн;1935;
;;;Козлова;1927;
;;;Встречи с Лиз;1927;
Катаев, Валентин Петрович;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%82%D0%B0%D0%B5%D0%B2,_%D0%92%D0%B0%D0%BB%D0%B5%D0%BD%D1%82%D0%B8%D0%BD_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/PROZA/KATAEW/;Время, вперёд!;1932;
;;;Белеет парус одинокий;1936;https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D0%B5%D0%B5%D1%82_%D0%BF%D0%B0%D1%80%D1%83%D1%81_%D0%BE%D0%B4%D0%B8%D0%BD%D0%BE%D0%BA%D0%B8%D0%B9
;;;Сын полка;1944;https://ru.wikipedia.org/wiki/%D0%A1%D1%8B%D0%BD_%D0%BF%D0%BE%D0%BB%D0%BA%D0%B0_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
Пастернак, Борис Леонидович;https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D1%81%D1%82%D0%B5%D1%80%D0%BD%D0%B0%D0%BA,_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%9B%D0%B5%D0%BE%D0%BD%D0%B8%D0%B4%D0%BE%D0%B2%D0%B8%D1%87;;Доктор Живаго;1945-1955;https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%BA%D1%82%D0%BE%D1%80_%D0%96%D0%B8%D0%B2%D0%B0%D0%B3%D0%BE
;;;Детство Люверс;1918;
;;;Воздушные пути;1924;
Тынянов, Юрий Николаевич;https://ru.wikipedia.org/wiki/%D0%A2%D1%8B%D0%BD%D1%8F%D0%BD%D0%BE%D0%B2,_%D0%AE%D1%80%D0%B8%D0%B9_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87#.D0.A0.D0.BE.D0.BC.D0.B0.D0.BD.D1.8B;http://az.lib.ru/t/tynjanow_j_n/;Кюхля;1925;
;;;Смерть Вазир-Мухтара;1927;
;;;Подпоручик Киже;1927;
;;;Восковая персона;1931;
Беляев, Александр Романович ;https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D1%8F%D0%B5%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/RUFANT/BELAEW/;Голова профессора Доуэля;1923 - 1928;https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D0%BB%D0%BE%D0%B2%D0%B0_%D0%BF%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%BE%D1%80%D0%B0_%D0%94%D0%BE%D1%83%D1%8D%D0%BB%D1%8F
;;;Остров погибших кораблей;1923 - 1928;https://ru.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2_%D0%BF%D0%BE%D0%B3%D0%B8%D0%B1%D1%88%D0%B8%D1%85_%D0%BA%D0%BE%D1%80%D0%B0%D0%B1%D0%BB%D0%B5%D0%B9
;;;Человек-амфибия;1927;https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA-%D0%B0%D0%BC%D1%84%D0%B8%D0%B1%D0%B8%D1%8F
;;;Человек, потерявший лицо;1923 - 1928;https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA,_%D0%BF%D0%BE%D1%82%D0%B5%D1%80%D1%8F%D0%B2%D1%88%D0%B8%D0%B9_%D0%BB%D0%B8%D1%86%D0%BE
;;;Продавец воздуха;ок.1929;https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86_%D0%B2%D0%BE%D0%B7%D0%B4%D1%83%D1%85%D0%B0
Быков, Василь Владимирович;https://ru.wikipedia.org/wiki/%D0%91%D1%8B%D0%BA%D0%BE%D0%B2,_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/PROZA/BYKOW/;Журавлиный крик;1959;https://ru.wikipedia.org/wiki/%D0%96%D1%83%D1%80%D0%B0%D0%B2%D0%BB%D0%B8%D0%BD%D1%8B%D0%B9_%D0%BA%D1%80%D0%B8%D0%BA
;;;Мертвым не больно;1965;https://ru.wikipedia.org/wiki/%D0%9C%D1%91%D1%80%D1%82%D0%B2%D1%8B%D0%BC_%D0%BD%D0%B5_%D0%B1%D0%BE%D0%BB%D1%8C%D0%BD%D0%BE
;;;Сотников;1969;https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D1%82%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
;;;Обелиск;1971;https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D0%B5%D0%BB%D0%B8%D1%81%D0%BA_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
;;;Дожить до расвета;1972;https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%B6%D0%B8%D1%82%D1%8C_%D0%B4%D0%BE_%D1%80%D0%B0%D1%81%D1%81%D0%B2%D0%B5%D1%82%D0%B0_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
Астафьев, Виктор Петрович;https://ru.wikipedia.org/wiki/%D0%90%D1%81%D1%82%D0%B0%D1%84%D1%8C%D0%B5%D0%B2,_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/PROZA/ASTAFIEW/;Прокляты и убиты;1993;https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D0%BA%D0%BB%D1%8F%D1%82%D1%8B_%D0%B8_%D1%83%D0%B1%D0%B8%D1%82%D1%8B
;;;Царь-рыба;1976;
;;;Звездопад;1960 - 1972;
;;;Последний поклон;1968;
;;;Печальный детектив;1987;
Алексиевич, Светлана Александровна;https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B8%D0%B5%D0%B2%D0%B8%D1%87,_%D0%A1%D0%B2%D0%B5%D1%82%D0%BB%D0%B0%D0%BD%D0%B0_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%BD%D0%B0;http://lib.ru/NEWPROZA/ALEKSIEWICH/;У войны не женское лицо;1983;https://ru.wikipedia.org/wiki/%D0%A3_%D0%B2%D0%BE%D0%B9%D0%BD%D1%8B_%D0%BD%D0%B5_%D0%B6%D0%B5%D0%BD%D1%81%D0%BA%D0%BE%D0%B5_%D0%BB%D0%B8%D1%86%D0%BE
;;;Цинковые мальчики;ок.1989;https://ru.wikipedia.org/wiki/%D0%A6%D0%B8%D0%BD%D0%BA%D0%BE%D0%B2%D1%8B%D0%B5_%D0%BC%D0%B0%D0%BB%D1%8C%D1%87%D0%B8%D0%BA%D0%B8
;;;Чернобыльская молитва;ок.1997;https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D1%80%D0%BD%D0%BE%D0%B1%D1%8B%D0%BB%D1%8C%D1%81%D0%BA%D0%B0%D1%8F_%D0%BC%D0%BE%D0%BB%D0%B8%D1%82%D0%B2%D0%B0
;;;Время Секонд Хэнд;2013;
