Автор;Страница в Википедии;страница в lib.ru;произведение ;год написания;страница в Википедии
Бондарев, Юрий Васильевич;https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%BD%D0%B4%D0%B0%D1%80%D0%B5%D0%B2,_%D0%AE%D1%80%D0%B8%D0%B9_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87;http://lib.ru/PROZA/BONDAREW/;Батальоны просят огня;ок.1957;https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BE%D0%BD%D1%8B_%D0%BF%D1%80%D0%BE%D1%81%D1%8F%D1%82_%D0%BE%D0%B3%D0%BD%D1%8F_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
;;;Горячий снег;1965-1969;https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D1%8F%D1%87%D0%B8%D0%B9_%D1%81%D0%BD%D0%B5%D0%B3_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Берег;1970 - 1974;
;;;Последние залпы;1959;
Васильев, Борис Львович;https://ru.wikipedia.org/wiki/%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2,_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%9B%D1%8C%D0%B2%D0%BE%D0%B2%D0%B8%D1%87;;А зори здесь тихие…;ок.1969;https://ru.wikipedia.org/wiki/%D0%90_%D0%B7%D0%BE%D1%80%D0%B8_%D0%B7%D0%B4%D0%B5%D1%81%D1%8C_%D1%82%D0%B8%D1%85%D0%B8%D0%B5_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
;;;В списках не значился;1974;https://ru.wikipedia.org/wiki/%D0%92_%D1%81%D0%BF%D0%B8%D1%81%D0%BA%D0%B0%D1%85_%D0%BD%D0%B5_%D0%B7%D0%BD%D0%B0%D1%87%D0%B8%D0%BB%D1%81%D1%8F
;;;Завтра была война;1984;
;;;Встречный бой;1979;
;;;Не стреляйте белых лебедей;1973;https://ru.wikipedia.org/wiki/%D0%9D%D0%B5_%D1%81%D1%82%D1%80%D0%B5%D0%BB%D1%8F%D0%B9%D1%82%D0%B5_%D0%B1%D0%B5%D0%BB%D1%8B%D1%85_%D0%BB%D0%B5%D0%B1%D0%B5%D0%B4%D0%B5%D0%B9
Воробьев, Константин Дмитриевич;https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D1%80%D0%BE%D0%B1%D1%8C%D1%91%D0%B2,_%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B5%D0%B2%D0%B8%D1%87;http://lib.ru/PROZA/WOROBIEW/;Убиты под Москвой;1961;https://ru.wikipedia.org/wiki/%D0%A3%D0%B1%D0%B8%D1%82%D1%8B_%D0%BF%D0%BE%D0%B4_%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%BE%D0%B9
;;;Мой друг Момич;1965;
;;;Одним дыханием;1949;
Казакевич, Эммануил Генрихович;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B7%D0%B0%D0%BA%D0%B5%D0%B2%D0%B8%D1%87,_%D0%AD%D0%BC%D0%BC%D0%B0%D0%BD%D1%83%D0%B8%D0%BB_%D0%93%D0%B5%D0%BD%D1%80%D0%B8%D1%85%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/PROZA/KAZAKEWICH/;Звезда;1947;https://ru.wikipedia.org/wiki/%D0%97%D0%B2%D0%B5%D0%B7%D0%B4%D0%B0_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
;;;Весна на Одере;1949;
;;;Дом на площади;1956;
;;;Двое в степи;1948;
;;;Сердце друга;1953;
Некрасов, Виктор Платонович;https://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D0%BA%D1%80%D0%B0%D1%81%D0%BE%D0%B2,_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80_%D0%9F%D0%BB%D0%B0%D1%82%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/PROZA/NEKRASOW/;В окопах Сталинграда;1946;https://ru.wikipedia.org/wiki/%D0%92_%D0%BE%D0%BA%D0%BE%D0%BF%D0%B0%D1%85_%D0%A1%D1%82%D0%B0%D0%BB%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4%D0%B0
;;;В родном городе;1954;
;;;Кира Георгиевна;1961;
;;;Судак;1958;
;;;Вторая ночь;1960;
Полевой, Борис Николаевич;https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BB%D0%B5%D0%B2%D0%BE%D0%B9,_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87;http://lib.ru/PROZA/POLEWOJ/;Повесть о настоящем человеке;1946;https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C_%D0%BE_%D0%BD%D0%B0%D1%81%D1%82%D0%BE%D1%8F%D1%89%D0%B5%D0%BC_%D1%87%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA%D0%B5
;;;Вернулся;1949;
;;;Золото;1950;
;;;Глубокий тыл;1958;
;;;На диком бреге;1962;
Приставкин, Анатолий Игнатьевич;https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8%D0%BD,_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D0%B8%D0%B9_%D0%98%D0%B3%D0%BD%D0%B0%D1%82%D1%8C%D0%B5%D0%B2%D0%B8%D1%87;http://lib.ru/PROZA/PRISTAWKIN/;Городок;сер.1970;
;;;Солдат и мальчик;1977;
;;;Ночевала тучка золотая;1981;https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D1%87%D0%B5%D0%B2%D0%B0%D0%BB%D0%B0_%D1%82%D1%83%D1%87%D0%BA%D0%B0_%D0%B7%D0%BE%D0%BB%D0%BE%D1%82%D0%B0%D1%8F
;;;Кукушата, или Жалобная песнь для успокоения сердца;1989;
Семенов, Юлиан Семенович;https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BC%D1%91%D0%BD%D0%BE%D0%B2,_%D0%AE%D0%BB%D0%B8%D0%B0%D0%BD_%D0%A1%D0%B5%D0%BC%D1%91%D0%BD%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/RUSS_DETEKTIW/SEMENOW_YU/;Семнадцать мгновений весны;1969;https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BC%D0%BD%D0%B0%D0%B4%D1%86%D0%B0%D1%82%D1%8C_%D0%BC%D0%B3%D0%BD%D0%BE%D0%B2%D0%B5%D0%BD%D0%B8%D0%B9_%D0%B2%D0%B5%D1%81%D0%BD%D1%8B_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;ТАСС уполномочен заявить…;1979;https://ru.wikipedia.org/wiki/%D0%A2%D0%90%D0%A1%D0%A1_%D1%83%D0%BF%D0%BE%D0%BB%D0%BD%D0%BE%D0%BC%D0%BE%D1%87%D0%B5%D0%BD_%D0%B7%D0%B0%D1%8F%D0%B2%D0%B8%D1%82%D1%8C%E2%80%A6_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Петровка, 38;1963;https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%BA%D0%B0,_38_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Огарева, 6;1972;https://ru.wikipedia.org/wiki/%D0%9E%D0%B3%D0%B0%D1%80%D1%91%D0%B2%D0%B0,_6_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
;;;Противостояние;1980;https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D1%82%D0%B8%D0%B2%D0%BE%D1%81%D1%82%D0%BE%D1%8F%D0%BD%D0%B8%D0%B5_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD_%D0%AE%D0%BB%D0%B8%D0%B0%D0%BD%D0%B0_%D0%A1%D0%B5%D0%BC%D1%91%D0%BD%D0%BE%D0%B2%D0%B0)
Шукшин, Василий Макарович;https://ru.wikipedia.org/wiki/%D0%A8%D1%83%D0%BA%D1%88%D0%B8%D0%BD,_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D0%B8%D0%B9_%D0%9C%D0%B0%D0%BA%D0%B0%D1%80%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/SHUKSHIN/;Калина красная;1973;
;;;Точка зрения;1974;
;;;Чудик;1967;
;;;Срезал;1970;
;;;Микроскоп;1969;
Распутин, Валентин Григорьевич;https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D1%81%D0%BF%D1%83%D1%82%D0%B8%D0%BD,_%D0%92%D0%B0%D0%BB%D0%B5%D0%BD%D1%82%D0%B8%D0%BD_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87;http://lib.ru/PROZA/RASPUTIN/;Последний срок;1970;
;;;Живи и помни;1974;https://ru.wikipedia.org/wiki/%D0%96%D0%B8%D0%B2%D0%B8_%D0%B8_%D0%BF%D0%BE%D0%BC%D0%BD%D0%B8
;;;Прощание с Матерой;1976;https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D1%89%D0%B0%D0%BD%D0%B8%D0%B5_%D1%81_%D0%9C%D0%B0%D1%82%D1%91%D1%80%D0%BE%D0%B9
;;;Пожар;1985;
;;;Уроки французского;ок.1973;https://ru.wikipedia.org/wiki/%D0%A3%D1%80%D0%BE%D0%BA%D0%B8_%D1%84%D1%80%D0%B0%D0%BD%D1%86%D1%83%D0%B7%D1%81%D0%BA%D0%BE%D0%B3%D0%BE
Абрамов, Федор Александрович;https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D0%BE%D0%B2,_%D0%A4%D1%91%D0%B4%D0%BE%D1%80_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/PROZA/ABRAMOW/;Братья и сестры;1958;https://ru.wikipedia.org/wiki/%D0%91%D1%80%D0%B0%D1%82%D1%8C%D1%8F_%D0%B8_%D1%81%D1%91%D1%81%D1%82%D1%80%D1%8B_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Две зимы и три лета;1968;
;;;Пути-перепутья;1973;
;;;Дом;1978;
Белов, Василий Иванович;https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D0%BE%D0%B2,_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D0%B8%D0%B9_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87;;Привычное дело;1966;
;;;Плотницкие рассказы;1968;
;;;Всё впереди;1986;
Троепольский, Гавриил Николаевич;https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D0%BE%D0%B5%D0%BF%D0%BE%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9,_%D0%93%D0%B0%D0%B2%D1%80%D0%B8%D0%B8%D0%BB_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87;http://lib.ru/PROZA/TROEPOLSKIJ/;Кандидат наук;1958;
;;;Чернозем;1961;
;;;Белый Бим Черное ухо;1971;https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D1%8B%D0%B9_%D0%91%D0%B8%D0%BC_%D0%A7%D1%91%D1%80%D0%BD%D0%BE%D0%B5_%D1%83%D1%85%D0%BE_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
Трифонов, Юрий Валентинович;https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D0%B8%D1%84%D0%BE%D0%BD%D0%BE%D0%B2,_%D0%AE%D1%80%D0%B8%D0%B9_%D0%92%D0%B0%D0%BB%D0%B5%D0%BD%D1%82%D0%B8%D0%BD%D0%BE%D0%B2%D0%B8%D1%87;;Дом на набережной;1975;https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%BC_%D0%BD%D0%B0_%D0%BD%D0%B0%D0%B1%D0%B5%D1%80%D0%B5%D0%B6%D0%BD%D0%BE%D0%B9_(%D0%A2%D1%80%D0%B8%D1%84%D0%BE%D0%BD%D0%BE%D0%B2)
;;;Обмен;1969;https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D0%BC%D0%B5%D0%BD_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
;;;Время и место;1980;
;;;Долгое прощание;1971;
;;;Другая жизнь;1975;
Айтматов, Чингиз Торекулович;https://ru.wikipedia.org/wiki/%D0%90%D0%B9%D1%82%D0%BC%D0%B0%D1%82%D0%BE%D0%B2,_%D0%A7%D0%B8%D0%BD%D0%B3%D0%B8%D0%B7_%D0%A2%D0%BE%D1%80%D0%B5%D0%BA%D1%83%D0%BB%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/PROZA/AJTMATOW/;Белый пароход;1970;https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D1%8B%D0%B9_%D0%BF%D0%B0%D1%80%D0%BE%D1%85%D0%BE%D0%B4
;;;Пегий пес, бегущий краем моря;1977;https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D0%B3%D0%B8%D0%B9_%D0%BF%D1%91%D1%81,_%D0%B1%D0%B5%D0%B3%D1%83%D1%89%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B5%D0%BC_%D0%BC%D0%BE%D1%80%D1%8F_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
;;;Плаха;1986;https://ru.wikipedia.org/wiki/%D0%9F%D0%BB%D0%B0%D1%85%D0%B0_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
Пикуль, Валентин Саввич;https://ru.wikipedia.org/wiki/%D0%9F%D0%B8%D0%BA%D1%83%D0%BB%D1%8C,_%D0%92%D0%B0%D0%BB%D0%B5%D0%BD%D1%82%D0%B8%D0%BD_%D0%A1%D0%B0%D0%B2%D0%B2%D0%B8%D1%87;;Париж на три часа;1962;https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D1%80%D0%B8%D0%B6_%D0%BD%D0%B0_%D1%82%D1%80%D0%B8_%D1%87%D0%B0%D1%81%D0%B0_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;На задворках Великой империи;1964-1966;https://ru.wikipedia.org/wiki/%D0%9D%D0%B0_%D0%B7%D0%B0%D0%B4%D0%B2%D0%BE%D1%80%D0%BA%D0%B0%D1%85_%D0%92%D0%B5%D0%BB%D0%B8%D0%BA%D0%BE%D0%B9_%D0%B8%D0%BC%D0%BF%D0%B5%D1%80%D0%B8%D0%B8
;;;Слово и дело;1974-1975;https://ru.wikipedia.org/wiki/%D0%A1%D0%BB%D0%BE%D0%B2%D0%BE_%D0%B8_%D0%B4%D0%B5%D0%BB%D0%BE_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Фаворит;1984;https://ru.wikipedia.org/wiki/%D0%A4%D0%B0%D0%B2%D0%BE%D1%80%D0%B8%D1%82_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
Стругацкий, Борис Натанович;https://ru.wikipedia.org/wiki/%D0%91%D1%80%D0%B0%D1%82%D1%8C%D1%8F_%D0%A1%D1%82%D1%80%D1%83%D0%B3%D0%B0%D1%86%D0%BA%D0%B8%D0%B5;http://lib.baikal.net/STRUGACKIE/;Трудно быть богом;1964;https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D1%83%D0%B4%D0%BD%D0%BE_%D0%B1%D1%8B%D1%82%D1%8C_%D0%B1%D0%BE%D0%B3%D0%BE%D0%BC
;;;Понедельник начинается в субботу;1965;https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BD%D0%B5%D0%B4%D0%B5%D0%BB%D1%8C%D0%BD%D0%B8%D0%BA_%D0%BD%D0%B0%D1%87%D0%B8%D0%BD%D0%B0%D0%B5%D1%82%D1%81%D1%8F_%D0%B2_%D1%81%D1%83%D0%B1%D0%B1%D0%BE%D1%82%D1%83
;;;Улитка на склоне;1966-1968;https://ru.wikipedia.org/wiki/%D0%A3%D0%BB%D0%B8%D1%82%D0%BA%D0%B0_%D0%BD%D0%B0_%D1%81%D0%BA%D0%BB%D0%BE%D0%BD%D0%B5
;;;Пикник на обочине;1971;https://ru.wikipedia.org/wiki/%D0%9F%D0%B8%D0%BA%D0%BD%D0%B8%D0%BA_%D0%BD%D0%B0_%D0%BE%D0%B1%D0%BE%D1%87%D0%B8%D0%BD%D0%B5
Ефремов, Иван Антонович;https://ru.wikipedia.org/wiki/%D0%95%D1%84%D1%80%D0%B5%D0%BC%D0%BE%D0%B2,_%D0%98%D0%B2%D0%B0%D0%BD_%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87;;Туманность Андромеды;1957;https://ru.wikipedia.org/wiki/%D0%A2%D1%83%D0%BC%D0%B0%D0%BD%D0%BD%D0%BE%D1%81%D1%82%D1%8C_%D0%90%D0%BD%D0%B4%D1%80%D0%BE%D0%BC%D0%B5%D0%B4%D1%8B_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Сердце змеи;1959;https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D1%80%D0%B4%D1%86%D0%B5_%D0%97%D0%BC%D0%B5%D0%B8
;;;Лезвие бритвы;1959 - 1962;https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D0%B7%D0%B2%D0%B8%D0%B5_%D0%B1%D1%80%D0%B8%D1%82%D0%B2%D1%8B_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD,_1963)
;;;Час быка;1968;https://ru.wikipedia.org/wiki/%D0%A7%D0%B0%D1%81_%D0%91%D1%8B%D0%BA%D0%B0
Булычев, Кир;https://ru.wikipedia.org/wiki/%D0%9A%D0%B8%D1%80_%D0%91%D1%83%D0%BB%D1%8B%D1%87%D1%91%D0%B2;http://www.2lib.ru/authors/376.html;Путешествие Алисы;1971;https://ru.wikipedia.org/wiki/%D0%9F%D1%83%D1%82%D0%B5%D1%88%D0%B5%D1%81%D1%82%D0%B2%D0%B8%D0%B5_%D0%90%D0%BB%D0%B8%D1%81%D1%8B
;;;Сто лет тому вперед;1978;https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D0%BE_%D0%BB%D0%B5%D1%82_%D1%82%D0%BE%D0%BC%D1%83_%D0%B2%D0%BF%D0%B5%D1%80%D1%91%D0%B4
;;;Похищение чародея;1979;
;;;Перпендикулярный мир;1989;
;;;Вид на битву с высоты;1998;
Вайнер, Аркадий Александрович;https://ru.wikipedia.org/wiki/%D0%91%D1%80%D0%B0%D1%82%D1%8C%D1%8F_%D0%92%D0%B0%D0%B9%D0%BD%D0%B5%D1%80%D1%8B;http://lib.ru/RUSS_DETEKTIW/WAJNERY/;Эра милосердия;1976;https://ru.wikipedia.org/wiki/%D0%AD%D1%80%D0%B0_%D0%BC%D0%B8%D0%BB%D0%BE%D1%81%D0%B5%D1%80%D0%B4%D0%B8%D1%8F_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Город принял!;1978;
;;;Петля и камень в зелёной траве;1991;
Гранин, Даниил Александрович;https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B0%D0%BD%D0%B8%D0%BD,_%D0%94%D0%B0%D0%BD%D0%B8%D0%B8%D0%BB_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/PROZA/GRANIN/;Искатели;1954;https://ru.wikipedia.org/wiki/%D0%98%D1%81%D0%BA%D0%B0%D1%82%D0%B5%D0%BB%D0%B8_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Иду на грозу;1962;
;;;Картина;1980;
;;;Еще заметен след;1984;
;;;Наш дорогой Роман Авдеевич;1990;
Искандер, Фазиль Абдулович;https://ru.wikipedia.org/wiki/%D0%98%D1%81%D0%BA%D0%B0%D0%BD%D0%B4%D0%B5%D1%80,_%D0%A4%D0%B0%D0%B7%D0%B8%D0%BB%D1%8C_%D0%90%D0%B1%D0%B4%D1%83%D0%BB%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/FISKANDER/;Созвездие Козлотура;1966;
;;;Сандро из Чегема;1973;https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BD%D0%B4%D1%80%D0%BE_%D0%B8%D0%B7_%D0%A7%D0%B5%D0%B3%D0%B5%D0%BC%D0%B0
;;;Морской скорпион;1977;
;;;Кролики и удавы;1982;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%BE%D0%BB%D0%B8%D0%BA%D0%B8_%D0%B8_%D1%83%D0%B4%D0%B0%D0%B2%D1%8B
;;;Тринадцатый подвиг Геракла;1964;https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D0%B8%D0%BD%D0%B0%D0%B4%D1%86%D0%B0%D1%82%D1%8B%D0%B9_%D0%BF%D0%BE%D0%B4%D0%B2%D0%B8%D0%B3_%D0%93%D0%B5%D1%80%D0%B0%D0%BA%D0%BB%D0%B0
Кабаков, Александр Абрамович;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B1%D0%B0%D0%BA%D0%BE%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/KABAKOW/;Невозвращенец;1988;
;;;Последний герой;1994-1995;
;;;Сочинитель;1991;
;;;Ударом на удар, или Подход Кристаповича;1981-1984;
Каверин, Вениамин Александрович;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B2%D0%B5%D1%80%D0%B8%D0%BD,_%D0%92%D0%B5%D0%BD%D0%B8%D0%B0%D0%BC%D0%B8%D0%BD_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87;;Два капитана;1938-1944;https://ru.wikipedia.org/wiki/%D0%94%D0%B2%D0%B0_%D0%BA%D0%B0%D0%BF%D0%B8%D1%82%D0%B0%D0%BD%D0%B0
;;;Открытая книга;1948-1956;https://ru.wikipedia.org/wiki/%D0%9E%D1%82%D0%BA%D1%80%D1%8B%D1%82%D0%B0%D1%8F_%D0%BA%D0%BD%D0%B8%D0%B3%D0%B0_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Семь пар нечистых;1962;
;;;Косой дождь;1962;
;;;Наука расставания;1982;
Маканин, Владимир Семенович;https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BA%D0%B0%D0%BD%D0%B8%D0%BD,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%A1%D0%B5%D0%BC%D1%91%D0%BD%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/PROZA/MAKANIN/;Андеграунд, или Герой нашего времени;1998;
;;;Испуг;2006;
;;;Асан;2008;
;;;Две сестры и Кандинский;2011;
Нагибин, Юрий Маркович;https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D0%B3%D0%B8%D0%B1%D0%B8%D0%BD,_%D0%AE%D1%80%D0%B8%D0%B9_%D0%9C%D0%B0%D1%80%D0%BA%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/PROZA/NAGIBIN/;Последняя охота;1957;
;;;Страницы жизни Трубникова;1962;
;;;Чистые пруды;1962;
;;;Тьма в конце туннеля;1994;
Толстая, Татьяна Никитична;https://ru.wikipedia.org/wiki/%D0%A2%D0%BE%D0%BB%D1%81%D1%82%D0%B0%D1%8F,_%D0%A2%D0%B0%D1%82%D1%8C%D1%8F%D0%BD%D0%B0_%D0%9D%D0%B8%D0%BA%D0%B8%D1%82%D0%B8%D1%87%D0%BD%D0%B0;http://lib.ru/PROZA/TOLSTAYA/;Кысь;1986-2000;https://ru.wikipedia.org/wiki/%D0%9A%D1%8B%D1%81%D1%8C
;;;Река Оккервиль;ок.1985;
;;;Сюжет;ок.1987;
;;;Легкие миры;2010-е;
